DATE,AVERAGE_DAILY_USAGE,isweekend,season_Fall,season_Summer,season_Winter,season_Spring,maxtp,mintp,rain,wdsp
2018-08-01,81.26363636363638,0,0.0,1.0,0.0,0.0,18.5,11.9,5.8,8.2
2018-08-02,152.64545454545456,0,0.0,1.0,0.0,0.0,24.5,17.0,0.2,6.4
2018-08-03,141.73636363636362,0,0.0,1.0,0.0,0.0,24.0,14.4,0.7,6.7
2018-08-04,91.65454545454546,1,0.0,1.0,0.0,0.0,21.6,12.0,0.0,5.1
2018-08-05,79.64545454545456,1,0.0,1.0,0.0,0.0,24.2,12.1,0.0,5.1
2018-08-06,77.74545454545455,0,0.0,1.0,0.0,0.0,22.6,13.9,0.6,6.9
2018-08-07,140.11818181818182,0,0.0,1.0,0.0,0.0,18.1,11.5,0.0,7.3
2018-08-08,151.71818181818182,0,0.0,1.0,0.0,0.0,19.6,10.2,0.1,9.6
2018-08-09,153.66363636363639,0,0.0,1.0,0.0,0.0,18.6,7.8,0.0,7.3
2018-08-10,148.97272727272727,0,0.0,1.0,0.0,0.0,18.7,6.5,0.0,8.0
2018-08-11,89.14545454545454,1,0.0,1.0,0.0,0.0,18.5,3.9,0.1,6.6
2018-08-12,75.04545454545455,1,0.0,1.0,0.0,0.0,19.9,15.2,2.1,4.4
2018-08-13,143.17272727272731,0,0.0,1.0,0.0,0.0,19.2,13.1,0.2,8.9
2018-08-14,149.61818181818182,0,0.0,1.0,0.0,0.0,21.6,14.4,0.0,9.7
2018-08-15,144.9363636363636,0,0.0,1.0,0.0,0.0,23.2,12.8,1.4,10.2
2018-08-16,144.88181818181818,0,0.0,1.0,0.0,0.0,19.0,10.7,1.4,9.6
2018-08-17,137.74545454545455,0,0.0,1.0,0.0,0.0,17.2,11.8,2.2,10.4
2018-08-18,97.91818181818182,1,0.0,1.0,0.0,0.0,25.1,15.4,1.0,9.4
2018-08-19,77.73636363636362,1,0.0,1.0,0.0,0.0,20.8,15.4,0.5,9.5
2018-08-20,138.48648648648648,0,0.0,1.0,0.0,0.0,20.0,14.8,2.5,4.3
2018-08-21,147.27678571428572,0,0.0,1.0,0.0,0.0,24.3,14.3,0.0,6.2
2018-08-22,145.99107142857142,0,0.0,1.0,0.0,0.0,19.0,8.7,1.2,9.5
2018-08-23,144.73214285714286,0,0.0,1.0,0.0,0.0,17.0,9.2,4.2,11.1
2018-08-24,135.77678571428572,0,0.0,1.0,0.0,0.0,15.2,8.2,6.9,11.5
2018-08-25,68.44642857142857,1,0.0,1.0,0.0,0.0,17.6,6.6,0.0,8.7
2018-08-26,61.86607142857143,1,0.0,1.0,0.0,0.0,17.7,10.4,15.6,10.3
2018-08-27,142.0,0,0.0,1.0,0.0,0.0,18.5,8.9,0.1,11.5
2018-08-28,148.20535714285714,0,0.0,1.0,0.0,0.0,17.3,6.8,0.1,6.3
2018-08-29,149.48214285714286,0,0.0,1.0,0.0,0.0,18.3,5.9,1.1,10.2
2018-08-30,152.34821428571428,0,0.0,1.0,0.0,0.0,16.0,5.1,0.0,4.9
2018-08-31,144.66964285714286,0,0.0,1.0,0.0,0.0,20.2,3.9,0.0,8.0
2018-09-01,87.57142857142857,1,1.0,0.0,0.0,0.0,20.9,11.8,0.1,4.3
2018-09-02,75.91964285714286,1,1.0,0.0,0.0,0.0,23.0,10.4,1.9,6.3
2018-09-03,138.60714285714286,0,1.0,0.0,0.0,0.0,16.9,6.6,0.2,10.6
2018-09-04,147.91964285714286,0,1.0,0.0,0.0,0.0,17.5,4.6,0.0,7.6
2018-09-05,147.99115044247787,0,1.0,0.0,0.0,0.0,19.2,4.9,4.0,7.4
2018-09-06,134.01769911504422,0,1.0,0.0,0.0,0.0,15.3,5.8,4.1,7.9
2018-09-07,144.46017699115043,0,1.0,0.0,0.0,0.0,15.6,5.4,0.0,8.4
2018-09-08,79.6283185840708,1,1.0,0.0,0.0,0.0,17.8,13.0,6.2,7.2
2018-09-09,77.87610619469027,1,1.0,0.0,0.0,0.0,17.7,11.9,0.0,11.3
2018-09-10,141.49557522123894,0,1.0,0.0,0.0,0.0,16.6,11.5,0.5,9.8
2018-09-11,148.93805309734512,0,1.0,0.0,0.0,0.0,16.5,10.6,2.1,9.0
2018-09-12,156.46017699115043,0,1.0,0.0,0.0,0.0,16.9,8.4,0.1,8.7
2018-09-13,155.49557522123894,0,1.0,0.0,0.0,0.0,16.7,9.2,0.0,9.1
2018-09-14,130.6637168141593,0,1.0,0.0,0.0,0.0,16.6,11.1,1.7,9.2
2018-09-15,82.76991150442478,1,1.0,0.0,0.0,0.0,16.9,10.9,0.9,8.8
2018-09-16,75.92920353982299,1,1.0,0.0,0.0,0.0,18.7,10.1,2.3,8.9
2018-09-17,142.53982300884957,0,1.0,0.0,0.0,0.0,20.4,10.0,0.1,9.8
2018-09-18,149.71681415929203,0,1.0,0.0,0.0,0.0,21.1,13.6,1.5,12.8
2018-09-19,137.72566371681415,0,1.0,0.0,0.0,0.0,17.9,10.3,0.9,15.8
2018-09-20,113.6283185840708,0,1.0,0.0,0.0,0.0,12.0,6.0,15.7,8.2
2018-09-21,138.31858407079642,0,1.0,0.0,0.0,0.0,14.1,6.1,1.0,13.7
2018-09-22,82.2566371681416,1,1.0,0.0,0.0,0.0,11.9,3.4,0.0,4.6
2018-09-23,74.97345132743362,1,1.0,0.0,0.0,0.0,13.3,3.9,0.0,11.0
2018-09-24,140.98230088495575,0,1.0,0.0,0.0,0.0,13.9,3.5,0.0,7.1
2018-09-25,155.3805309734513,0,1.0,0.0,0.0,0.0,15.9,0.4,0.0,9.5
2018-09-26,158.09734513274338,0,1.0,0.0,0.0,0.0,19.5,13.4,0.0,8.5
2018-09-27,152.72566371681415,0,1.0,0.0,0.0,0.0,16.6,4.2,0.5,9.4
2018-09-28,148.34513274336285,0,1.0,0.0,0.0,0.0,13.7,1.5,0.0,5.9
2018-09-29,88.10619469026548,1,1.0,0.0,0.0,0.0,14.8,1.9,0.0,7.8
2018-09-30,72.77876106194691,1,1.0,0.0,0.0,0.0,12.8,5.1,0.0,12.0
2018-10-01,142.2920353982301,0,1.0,0.0,0.0,0.0,13.6,3.1,0.0,10.9
2018-10-02,141.61061946902657,0,1.0,0.0,0.0,0.0,16.2,11.6,0.6,14.3
2018-10-03,154.97345132743362,0,1.0,0.0,0.0,0.0,15.9,11.4,0.4,7.0
2018-10-04,146.61403508771932,0,1.0,0.0,0.0,0.0,16.6,10.8,5.1,6.8
2018-10-05,146.46491228070175,0,1.0,0.0,0.0,0.0,11.8,5.2,6.4,7.5
2018-10-06,86.51754385964912,1,1.0,0.0,0.0,0.0,12.4,1.1,0.0,8.8
2018-10-07,66.91228070175438,1,1.0,0.0,0.0,0.0,14.7,2.7,0.0,10.1
2018-10-08,141.99122807017542,0,1.0,0.0,0.0,0.0,15.8,12.7,0.0,12.9
2018-10-09,150.68421052631578,0,1.0,0.0,0.0,0.0,17.5,13.4,0.0,14.2
2018-10-10,156.68421052631578,0,1.0,0.0,0.0,0.0,19.2,12.3,0.2,10.4
2018-10-11,148.42105263157896,0,1.0,0.0,0.0,0.0,15.8,10.3,0.9,10.1
2018-10-12,134.8684210526316,0,1.0,0.0,0.0,0.0,16.1,11.2,5.6,14.0
2018-10-13,56.33333333333334,1,1.0,0.0,0.0,0.0,13.1,8.5,19.1,7.2
2018-10-14,78.29824561403508,1,1.0,0.0,0.0,0.0,12.3,1.5,0.1,4.8
2018-10-15,140.78070175438597,0,1.0,0.0,0.0,0.0,12.7,1.5,0.0,5.0
2018-10-16,154.78070175438597,0,1.0,0.0,0.0,0.0,15.4,3.7,0.0,7.2
2018-10-17,149.14912280701753,0,1.0,0.0,0.0,0.0,13.1,1.1,0.0,8.0
2018-10-18,155.359649122807,0,1.0,0.0,0.0,0.0,13.3,-0.1,0.0,4.2
2018-10-19,146.32456140350877,0,1.0,0.0,0.0,0.0,14.6,5.1,0.0,4.9
2018-10-20,84.85087719298245,1,1.0,0.0,0.0,0.0,17.0,9.2,0.0,6.3
2018-10-21,68.45614035087719,1,1.0,0.0,0.0,0.0,15.0,5.3,0.7,10.0
2018-10-22,142.69298245614036,0,1.0,0.0,0.0,0.0,12.3,2.8,0.0,10.0
2018-10-23,148.11403508771932,0,1.0,0.0,0.0,0.0,13.3,7.7,0.0,16.0
2018-10-24,151.21929824561403,0,1.0,0.0,0.0,0.0,10.9,8.3,0.0,13.3
2018-10-25,153.7280701754386,0,1.0,0.0,0.0,0.0,11.4,7.9,0.2,11.1
2018-10-26,137.62280701754386,0,1.0,0.0,0.0,0.0,9.1,2.1,0.4,14.4
2018-10-27,71.71929824561404,1,1.0,0.0,0.0,0.0,6.6,-0.2,0.1,12.7
2018-10-28,66.20175438596492,1,1.0,0.0,0.0,0.0,9.8,-2.9,0.0,7.8
2018-10-29,65.9298245614035,0,1.0,0.0,0.0,0.0,7.9,-3.3,0.1,6.1
2018-10-30,132.1578947368421,0,1.0,0.0,0.0,0.0,9.6,-4.7,0.4,3.0
2018-10-31,126.97368421052632,0,1.0,0.0,0.0,0.0,9.3,3.3,2.3,5.2
2018-11-01,139.17543859649123,0,1.0,0.0,0.0,0.0,8.7,1.5,0.0,8.4
2018-11-02,127.12280701754385,0,1.0,0.0,0.0,0.0,13.1,1.1,1.2,8.2
2018-11-03,72.52631578947368,1,1.0,0.0,0.0,0.0,15.3,11.4,0.1,14.7
2018-11-04,63.29824561403509,1,1.0,0.0,0.0,0.0,12.3,8.5,3.7,6.5
2018-11-05,128.68421052631578,0,1.0,0.0,0.0,0.0,12.1,9.4,6.6,9.3
2018-11-06,128.99122807017542,0,1.0,0.0,0.0,0.0,12.4,7.0,4.5,11.0
2018-11-07,126.55263157894736,0,1.0,0.0,0.0,0.0,9.7,3.5,18.1,7.9
2018-11-08,142.0701754385965,0,1.0,0.0,0.0,0.0,10.7,4.8,3.3,6.2
2018-11-09,114.82456140350875,0,1.0,0.0,0.0,0.0,11.4,5.6,15.1,11.8
2018-11-10,76.1140350877193,1,1.0,0.0,0.0,0.0,9.3,2.5,3.1,5.8
2018-11-11,65.03508771929825,1,1.0,0.0,0.0,0.0,11.4,2.2,4.5,7.8
2018-11-12,137.76315789473685,0,1.0,0.0,0.0,0.0,12.3,7.8,0.0,11.4
2018-11-13,143.5701754385965,0,1.0,0.0,0.0,0.0,13.0,6.8,0.7,10.5
2018-11-14,147.05263157894737,0,1.0,0.0,0.0,0.0,14.5,12.6,0.7,13.2
2018-11-15,153.46491228070175,0,1.0,0.0,0.0,0.0,14.6,5.5,0.3,10.2
2018-11-16,141.7017543859649,0,1.0,0.0,0.0,0.0,14.3,1.9,0.0,8.9
2018-11-17,86.84210526315788,1,1.0,0.0,0.0,0.0,12.5,5.9,0.0,9.4
2018-11-18,71.40350877192982,1,1.0,0.0,0.0,0.0,10.7,5.1,0.0,10.7
2018-11-19,134.69298245614036,0,1.0,0.0,0.0,0.0,9.2,6.5,0.3,16.0
2018-11-20,120.19298245614037,0,1.0,0.0,0.0,0.0,8.0,4.8,14.4,15.5
2018-11-21,104.49122807017544,0,1.0,0.0,0.0,0.0,7.3,3.2,18.9,8.7
2018-11-22,140.50877192982458,0,1.0,0.0,0.0,0.0,8.4,1.4,0.4,8.7
2018-11-23,136.6140350877193,0,1.0,0.0,0.0,0.0,8.8,3.8,0.0,8.5
2018-11-24,77.25438596491226,1,1.0,0.0,0.0,0.0,9.3,6.0,0.1,9.8
2018-11-25,63.368421052631575,1,1.0,0.0,0.0,0.0,9.0,2.9,3.3,9.0
2018-11-26,132.1491228070175,0,1.0,0.0,0.0,0.0,8.7,3.4,0.1,6.3
2018-11-27,111.83333333333331,0,1.0,0.0,0.0,0.0,10.0,6.2,15.6,12.9
2018-11-28,130.21929824561406,0,1.0,0.0,0.0,0.0,15.2,8.2,4.5,15.4
2018-11-29,133.82456140350877,0,1.0,0.0,0.0,0.0,10.1,5.8,10.8,10.0
2018-11-30,130.7719298245614,0,1.0,0.0,0.0,0.0,8.0,4.4,0.9,10.2
2018-12-01,65.21052631578948,1,0.0,0.0,1.0,0.0,10.3,4.6,6.8,5.7
2018-12-02,62.438596491228076,1,0.0,0.0,1.0,0.0,12.7,8.7,2.3,10.6
2018-12-03,133.50877192982458,0,0.0,0.0,1.0,0.0,9.1,2.0,3.3,8.5
2018-12-04,136.6491228070175,0,0.0,0.0,1.0,0.0,5.8,0.8,0.5,4.8
2018-12-05,129.44736842105266,0,0.0,0.0,1.0,0.0,11.0,5.6,14.1,7.8
2018-12-06,142.99122807017542,0,0.0,0.0,1.0,0.0,13.2,9.8,1.9,9.2
2018-12-07,125.52631578947368,0,0.0,0.0,1.0,0.0,13.4,3.4,4.2,14.4
2018-12-08,62.307017543859644,1,0.0,0.0,1.0,0.0,10.6,6.7,3.0,15.7
2018-12-09,62.03508771929825,1,0.0,0.0,1.0,0.0,9.1,4.4,0.5,15.4
2018-12-10,127.7105263157895,0,0.0,0.0,1.0,0.0,8.9,2.5,0.1,5.4
2018-12-11,138.8421052631579,0,0.0,0.0,1.0,0.0,10.8,1.9,2.4,8.4
2018-12-12,136.48245614035088,0,0.0,0.0,1.0,0.0,9.4,6.4,2.9,11.1
2018-12-13,131.94736842105266,0,0.0,0.0,1.0,0.0,7.8,5.1,0.2,18.1
2018-12-14,126.32456140350875,0,0.0,0.0,1.0,0.0,6.8,4.9,2.8,16.9
2018-12-15,48.54385964912281,1,0.0,0.0,1.0,0.0,10.2,5.3,10.5,20.8
2018-12-16,64.41228070175438,1,0.0,0.0,1.0,0.0,7.4,3.9,0.2,7.0
2018-12-17,126.58771929824562,0,0.0,0.0,1.0,0.0,12.1,4.1,0.0,11.1
2018-12-18,129.8421052631579,0,0.0,0.0,1.0,0.0,12.2,4.9,3.9,11.8
2018-12-19,139.7719298245614,0,0.0,0.0,1.0,0.0,8.7,4.5,0.2,9.5
2018-12-20,133.2017543859649,0,0.0,0.0,1.0,0.0,7.7,6.0,0.9,10.0
2018-12-21,119.46491228070177,0,0.0,0.0,1.0,0.0,9.3,5.2,3.7,7.3
2018-12-22,70.25438596491227,1,0.0,0.0,1.0,0.0,8.9,6.1,3.4,8.1
2018-12-23,44.912280701754376,1,0.0,0.0,1.0,0.0,7.5,3.7,12.9,6.7
2018-12-24,61.64035087719297,0,0.0,0.0,1.0,0.0,9.1,4.3,0.0,7.2
2018-12-25,21.894736842105264,0,0.0,0.0,1.0,0.0,11.6,3.0,0.0,3.1
2018-12-26,33.166666666666664,0,0.0,0.0,1.0,0.0,11.4,6.6,0.0,4.3
2018-12-27,60.55263157894736,0,0.0,0.0,1.0,0.0,9.7,8.2,0.0,3.4
2018-12-28,67.70175438596492,0,0.0,0.0,1.0,0.0,11.8,8.5,0.1,6.9
2018-12-29,55.438596491228076,1,0.0,0.0,1.0,0.0,12.0,9.4,0.1,9.8
2018-12-30,55.149122807017534,1,0.0,0.0,1.0,0.0,11.5,9.1,0.1,7.5
2018-12-31,71.49122807017544,0,0.0,0.0,1.0,0.0,10.1,8.7,0.0,7.6
2019-01-01,36.026315789473685,0,0.0,0.0,1.0,0.0,9.2,1.8,0.2,7.5
2019-01-02,109.01754385964912,0,0.0,0.0,1.0,0.0,7.6,1.6,0.0,4.2
2019-01-03,120.59649122807018,0,0.0,0.0,1.0,0.0,7.9,4.9,0.0,4.0
2019-01-04,118.76315789473685,0,0.0,0.0,1.0,0.0,6.5,4.6,0.0,4.8
2019-01-05,70.3157894736842,1,0.0,0.0,1.0,0.0,8.4,2.0,0.0,5.2
2019-01-06,65.08771929824562,1,0.0,0.0,1.0,0.0,10.1,7.8,0.0,5.2
2019-01-07,125.7894736842105,0,0.0,0.0,1.0,0.0,11.3,5.3,0.2,12.7
2019-01-08,134.6315789473684,0,0.0,0.0,1.0,0.0,8.3,1.2,0.0,9.6
2019-01-09,137.59649122807016,0,0.0,0.0,1.0,0.0,8.1,1.9,0.0,5.9
2019-01-10,131.05263157894734,0,0.0,0.0,1.0,0.0,10.1,5.7,2.1,6.4
2019-01-11,131.3859649122807,0,0.0,0.0,1.0,0.0,9.8,6.7,0.0,8.5
2019-01-12,73.82456140350877,1,0.0,0.0,1.0,0.0,10.1,7.1,0.2,17.0
2019-01-13,58.280701754385966,1,0.0,0.0,1.0,0.0,10.8,5.3,0.4,18.8
2019-01-14,132.73684210526315,0,0.0,0.0,1.0,0.0,8.2,5.3,0.0,9.8
2019-01-15,140.7017543859649,0,0.0,0.0,1.0,0.0,9.5,6.9,0.0,9.3
2019-01-16,135.1578947368421,0,0.0,0.0,1.0,0.0,8.8,1.2,0.3,9.8
2019-01-17,137.17543859649123,0,0.0,0.0,1.0,0.0,3.5,-1.1,0.0,8.5
2019-01-18,131.7719298245614,0,0.0,0.0,1.0,0.0,9.1,2.5,1.7,8.2
2019-01-19,71.20175438596492,1,0.0,0.0,1.0,0.0,7.1,3.8,1.9,4.2
2019-01-20,58.868421052631575,1,0.0,0.0,1.0,0.0,7.5,-1.0,0.1,8.2
2019-01-21,122.02631578947368,0,0.0,0.0,1.0,0.0,6.5,-2.4,2.3,9.5
2019-01-22,132.17543859649123,0,0.0,0.0,1.0,0.0,4.1,-0.1,0.0,11.3
2019-01-23,134.81578947368422,0,0.0,0.0,1.0,0.0,4.5,-0.6,0.0,9.1
2019-01-24,126.89473684210527,0,0.0,0.0,1.0,0.0,10.2,4.2,2.7,8.8
2019-01-25,137.6637168141593,0,0.0,0.0,1.0,0.0,10.7,7.6,0.0,13.0
2019-01-26,63.159292035398224,1,0.0,0.0,1.0,0.0,9.9,3.9,7.7,11.9
2019-01-27,57.327433628318595,1,0.0,0.0,1.0,0.0,5.7,0.1,0.0,17.3
2019-01-28,126.5840707964602,0,0.0,0.0,1.0,0.0,6.2,-0.7,0.0,9.0
2019-01-29,129.7787610619469,0,0.0,0.0,1.0,0.0,3.9,-0.4,3.0,11.7
2019-01-30,137.72566371681415,0,0.0,0.0,1.0,0.0,3.4,-3.4,0.0,8.5
2019-01-31,113.44247787610621,0,0.0,0.0,1.0,0.0,4.0,-5.8,4.0,11.7
2019-02-01,128.32743362831854,0,0.0,0.0,1.0,0.0,4.1,-1.2,0.0,11.7
2019-02-02,72.82300884955751,1,0.0,0.0,1.0,0.0,4.9,-3.8,0.0,8.8
2019-02-03,56.38053097345133,1,0.0,0.0,1.0,0.0,9.0,-0.3,0.9,9.6
2019-02-04,128.86725663716814,0,0.0,0.0,1.0,0.0,9.5,-2.1,0.0,9.9
2019-02-05,131.31858407079642,0,0.0,0.0,1.0,0.0,12.9,-2.0,2.3,9.8
2019-02-06,137.35398230088495,0,0.0,0.0,1.0,0.0,10.8,3.1,3.8,8.8
2019-02-07,137.94690265486722,0,0.0,0.0,1.0,0.0,8.9,0.6,5.6,12.3
2019-02-08,121.70796460176993,0,0.0,0.0,1.0,0.0,11.0,3.4,11.2,17.7
2019-02-09,68.858407079646,1,0.0,0.0,1.0,0.0,8.6,2.4,1.4,13.8
2019-02-10,56.1061946902655,1,0.0,0.0,1.0,0.0,7.1,1.2,2.6,14.0
2019-02-11,127.04424778761063,0,0.0,0.0,1.0,0.0,8.9,2.1,0.0,7.1
2019-02-12,139.21238938053094,0,0.0,0.0,1.0,0.0,12.5,6.3,0.0,10.2
2019-02-13,140.60176991150442,0,0.0,0.0,1.0,0.0,11.3,9.0,0.0,12.2
2019-02-14,143.7433628318584,0,0.0,0.0,1.0,0.0,12.8,2.0,0.0,5.5
2019-02-15,133.35398230088495,0,0.0,0.0,1.0,0.0,15.6,-0.3,0.0,12.6
2019-02-16,76.36283185840708,1,0.0,0.0,1.0,0.0,12.5,6.8,0.0,12.0
2019-02-17,68.60176991150442,1,0.0,0.0,1.0,0.0,11.6,7.7,0.1,14.6
2019-02-18,128.54867256637172,0,0.0,0.0,1.0,0.0,10.0,5.3,0.0,11.7
2019-02-19,132.52212389380531,0,0.0,0.0,1.0,0.0,10.3,3.7,2.2,10.4
2019-02-20,144.99115044247787,0,0.0,0.0,1.0,0.0,13.3,9.9,0.0,13.1
2019-02-21,146.4513274336283,0,0.0,0.0,1.0,0.0,14.2,9.5,0.0,10.8
2019-02-22,135.6194690265487,0,0.0,0.0,1.0,0.0,14.8,8.7,0.0,11.5
2019-02-23,81.212389380531,1,0.0,0.0,1.0,0.0,13.8,0.3,0.2,9.5
2019-02-24,72.64601769911505,1,0.0,0.0,1.0,0.0,10.5,-0.4,0.0,7.3
2019-02-25,135.15044247787608,0,0.0,0.0,1.0,0.0,14.7,2.5,0.0,6.3
2019-02-26,142.1681415929204,0,0.0,0.0,1.0,0.0,14.5,-0.8,0.0,4.7
2019-02-27,145.07079646017695,0,0.0,0.0,1.0,0.0,13.2,-1.9,0.0,4.5
2019-02-28,145.0,0,0.0,0.0,1.0,0.0,11.2,5.3,0.2,6.3
2019-03-01,133.60176991150442,0,0.0,0.0,0.0,1.0,15.0,5.0,5.9,5.9
2019-03-02,71.16814159292034,1,0.0,0.0,0.0,1.0,12.4,5.0,2.6,12.2
2019-03-03,35.11504424778761,1,0.0,0.0,0.0,1.0,7.0,-0.2,22.0,10.3
2019-03-04,130.28318584070794,0,0.0,0.0,0.0,1.0,6.8,0.7,0.6,10.2
2019-03-05,128.15929203539824,0,0.0,0.0,0.0,1.0,10.6,3.3,13.3,12.9
2019-03-06,137.89380530973452,0,0.0,0.0,0.0,1.0,11.6,4.4,1.4,12.5
2019-03-07,137.06194690265488,0,0.0,0.0,0.0,1.0,10.0,2.7,1.9,17.2
2019-03-08,55.176991150442475,0,0.0,0.0,0.0,1.0,10.4,1.8,1.5,10.2
2019-03-09,73.48672566371681,1,0.0,0.0,0.0,1.0,9.6,3.8,4.2,13.2
2019-03-10,57.1061946902655,1,0.0,0.0,0.0,1.0,6.8,0.4,5.4,13.7
2019-03-11,128.53982300884957,0,0.0,0.0,0.0,1.0,10.7,0.8,0.4,13.8
2019-03-12,128.16814159292036,0,0.0,0.0,0.0,1.0,11.2,3.7,4.6,17.4
2019-03-13,128.43362831858408,0,0.0,0.0,0.0,1.0,9.6,5.1,0.6,23.1
2019-03-14,128.36283185840708,0,0.0,0.0,0.0,1.0,11.0,6.9,8.4,18.3
2019-03-15,127.26548672566372,0,0.0,0.0,0.0,1.0,11.3,5.1,6.2,17.3
2019-03-16,56.38053097345133,1,0.0,0.0,0.0,1.0,11.8,2.2,10.9,16.1
2019-03-17,50.221238938053105,1,0.0,0.0,0.0,1.0,10.7,0.6,0.2,15.2
2019-03-18,58.36283185840708,0,0.0,0.0,0.0,1.0,11.5,4.1,0.4,11.4
2019-03-19,132.85840707964599,0,0.0,0.0,0.0,1.0,13.6,6.2,0.8,8.2
2019-03-20,141.4513274336283,0,0.0,0.0,0.0,1.0,16.8,8.1,0.4,7.2
2019-03-21,145.46902654867256,0,0.0,0.0,0.0,1.0,13.1,9.6,0.0,6.8
2019-03-22,131.86725663716814,0,0.0,0.0,0.0,1.0,11.4,4.8,0.6,11.7
2019-03-23,82.79646017699116,1,0.0,0.0,0.0,1.0,9.8,2.3,0.0,5.1
2019-03-24,65.92035398230088,1,0.0,0.0,0.0,1.0,10.4,1.8,0.0,13.3
2019-03-25,136.97345132743362,0,0.0,0.0,0.0,1.0,11.6,3.9,0.0,7.3
2019-03-26,146.62831858407083,0,0.0,0.0,0.0,1.0,13.2,2.9,0.0,7.0
2019-03-27,144.90265486725662,0,0.0,0.0,0.0,1.0,13.0,1.7,0.0,5.9
2019-03-28,149.575221238938,0,0.0,0.0,0.0,1.0,16.1,0.8,0.0,5.3
2019-03-29,139.2920353982301,0,0.0,0.0,0.0,1.0,12.8,2.4,0.0,5.3
2019-03-30,81.6637168141593,1,0.0,0.0,0.0,1.0,12.2,0.5,0.2,7.5
2019-03-31,68.23008849557522,1,0.0,0.0,0.0,1.0,10.4,-2.1,0.0,8.3
2019-04-01,132.81415929203536,0,0.0,0.0,0.0,1.0,12.5,5.2,2.7,7.4
2019-04-02,134.69026548672562,0,0.0,0.0,0.0,1.0,8.2,0.8,0.5,12.5
2019-04-03,124.6725663716814,0,0.0,0.0,0.0,1.0,7.8,1.1,8.0,15.1
2019-04-04,119.63716814159292,0,0.0,0.0,0.0,1.0,8.1,1.5,12.5,13.0
2019-04-05,126.02654867256638,0,0.0,0.0,0.0,1.0,8.8,-0.3,2.2,6.7
2019-04-06,79.15929203539821,1,0.0,0.0,0.0,1.0,10.3,1.0,0.6,9.4
2019-04-07,68.3716814159292,1,0.0,0.0,0.0,1.0,11.4,-0.8,0.0,9.2
2019-04-08,114.93805309734512,0,0.0,0.0,0.0,1.0,9.4,6.4,2.8,7.6
2019-04-09,141.424778761062,0,0.0,0.0,0.0,1.0,10.5,5.1,0.2,11.6
2019-04-10,140.58407079646014,0,0.0,0.0,0.0,1.0,8.9,1.2,0.0,9.0
2019-04-11,149.88495575221242,0,0.0,0.0,0.0,1.0,11.6,-2.0,0.0,3.2
2019-04-12,141.08849557522126,0,0.0,0.0,0.0,1.0,9.9,0.2,0.0,7.2
2019-04-13,79.14159292035399,1,0.0,0.0,0.0,1.0,8.7,6.6,0.0,14.7
2019-04-14,64.87610619469028,1,0.0,0.0,0.0,1.0,7.6,5.1,0.0,15.0
2019-04-15,111.6991150442478,0,0.0,0.0,0.0,1.0,9.6,4.5,15.8,16.7
2019-04-16,135.72566371681415,0,0.0,0.0,0.0,1.0,9.6,4.4,2.6,7.8
2019-04-17,145.76106194690266,0,0.0,0.0,0.0,1.0,12.5,-0.8,0.0,6.3
2019-04-18,146.8761061946903,0,0.0,0.0,0.0,1.0,14.9,3.7,0.0,5.5
2019-04-19,100.31858407079645,0,0.0,0.0,0.0,1.0,19.0,2.5,0.0,4.8
2019-04-20,79.212389380531,1,0.0,0.0,0.0,1.0,20.4,5.6,0.0,4.3
2019-04-21,69.21238938053098,1,0.0,0.0,0.0,1.0,21.7,8.2,0.0,6.7
2019-04-22,67.75221238938053,0,0.0,0.0,0.0,1.0,19.3,5.4,0.0,7.7
2019-04-23,125.94690265486727,0,0.0,0.0,0.0,1.0,17.1,6.5,0.0,5.7
2019-04-24,130.53982300884957,0,0.0,0.0,0.0,1.0,14.6,7.9,7.8,6.2
2019-04-25,129.20353982300884,0,0.0,0.0,0.0,1.0,11.0,6.9,2.7,6.9
